学校中文名,学校英文名,国家/地区,QS 2026,USNews 2026,THE 2025,ARWU 2024,Arts & Humanities,Archaeology,Architecture,Art & Design,Classics,English Language,History$,History of Art,Linguistics,Modern Languages,Music,Performing Arts,Philosophy,Theology,Engineering & Technology,Computer Science,Data Science,Engineering - Chemical,Engineering - Civil,Engineering - Electrical,Engineering - Mechanical,Engineering - Mineral,Petroleum Engineering,Life Sciences & Medicine,Agriculture,Anatomy,Biological,Dentistry,Medicine,Nursing,Pharmacy,Psychology,Veterinary Science,Natural Sciences,Chemistry,Earth & Marine Sciences,Environmental Sciences,Geography,Geology,Geophysics,Mathematics,Materials Science,Physics,Social Sciences & Management,Accounting,Anthropology,Business,Communication,Development Studies,Economics & Econometrics,Education,Hospitality,Law,Library,Marketing,Politics,Social Policy,Sociology,Sports-related Subjects,Statistics
喀拉拉邦大学,University of Kerala,印度,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
群山国立大学,Kunsan National University,韩国,-,2096,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埃斯基谢希尔技术大学,Eskisehir Technical University,土耳其,-,2204,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南师范大学,Hainan Normal University,中国,-,2206,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林波波大学,University of Limpopo,南非,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连海洋大学,Dalian Ocean University,中国,-,2224,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宗古尔达克·布伦特·埃杰维特大学,Zonguldak Bulent Ecevit Universitesi,土耳其,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明治大学,Meiji University,日本,1201-1400,2005,1501,-,,,,,51-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内塔吉·苏巴斯科技大学,Netaji Subhas University of Technology,印度,-,2230,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉里奥哈国际大学 (UNIR),Universidad Internacional de La Rioja (UNIR),西班牙,-,2153,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中西部大学,Midwestern University,美国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穆罕默德·阿基夫·厄索伊大学,Mehmet Akif Ersoy University,土耳其,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿尔费纳斯联邦大学,Universidade Federal de Alfenas,巴西,-,2244,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
齐齐哈尔大学,Qiqihar University,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿希埃夫兰大学,Ahi Evran University,土耳其,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都医学院,Chengdu Medical College,中国,-,2206,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西京大学,Xijing University,中国,-,2206,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩国交通大学,Korea National University of Transportation,韩国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石家庄铁道大学,Shijiazhuang Tiedao University,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穆斯塔法·凯末尔大学,Mustafa Kemal University,土耳其,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西科技师范大学,Jiangxi Science & Technology Normal University,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏丹穆莱·斯莱曼贝尼迈拉勒大学,Sultan Moulay Slimane University of Beni Mellal,摩洛哥,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁工程技术大学,Liaoning Technical University,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江八一农业大学,Heilongjiang Bayi Agricultural University,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽中医药大学,Anhui University of Chinese Medicine,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国立韩巴大学,Hanbat National University,韩国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆农业大学,Xinjiang Agricultural University,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞阿拉大学,Universidade Estadual do Ceara,巴西,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大连交通大学,Dalian Jiaotong University,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡赫拉曼马拉斯苏图伊玛目大学,Kahramanmaras Sutcu Imam University,土耳其,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火箭军工程大学,Rocket Force University of Engineering,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建中医药大学,Fujian University of Traditional Chinese Medicine,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赣南医科大学,Gannan Medical University,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
半阿里多联邦农村大学 (UFERSA),Universidade Federal Rural do Semi-Arido (UFERSA),巴西,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南中医药大学,Henan University of Traditional Chinese Medicine,中国,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国防医学院 - 日本,National Defense Medical College - Japan,日本,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马托格罗索联邦大学,Universidade Federal de Mato Grosso,巴西,-,1891,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梅奥临床医学与科学学院,Mayo Clinic College of Medicine and Science,美国,-,-,-,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马萨诸塞大学陈医学院,University of Massachusetts Chan Medical School,美国,-,-,-,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莫莱天主教大学,Universidad Catolica del Maule,智利,-,2215,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佩斯大学纽约分校,Pace University-New York,美国,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内布拉斯加大学奥马哈分校,University of Nebraska Omaha,美国,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洛约拉马利蒙特大学,Loyola Marymount University,美国,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博戈莫莱特国立医科大学,Bogomolets National Medical University,乌克兰,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
敖德萨 I.I.梅奇尼科夫国立大学,Odesa I.I. Mechnikov National University,乌克兰,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓦西里·斯特凡尼克前喀尔巴阡国立大学,Vasyl Stefanyk Precarpathian National University,乌克兰,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塔什干灌溉与农业机械化研究所,Tashkent Institute of Irrigation and Agricultural Mechanisation,乌兹别克斯坦,-,-,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏莱曼尼大学,University of Sulaimani,伊拉克,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萨拉哈丁大学埃尔比勒分校,Salahaddin University–Erbil,伊拉克,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杜霍克大学,University of Duhok,伊拉克,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富拉特阿瓦萨特技术大学,Al-Furat Al-Awsat Technical University,伊拉克,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穆萨纳大学,Al-Muthanna University,伊拉克,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莫莱天主教大学,Universidad Católica del Maule,智利,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提克里特大学,Tikrit University,伊拉克,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帝嘉大学,University of Thi-Qar,伊拉克,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓦西特大学,Wasit University,伊拉克,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厄尔布尔士医科大学,Alborz University of Medical Sciences,伊朗,-,-,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古勒斯坦大学,Golestan University,伊朗,-,-,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洛雷斯坦医科大学,Lorestan University of Medical Sciences,伊朗,-,-,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比尔詹德医科大学,Birjand University of Medical Sciences,伊朗,-,-,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扎黑丹医科大学,Zahedan University of Medical Sciences,伊朗,-,-,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈马丹医科大学 (UMSHA),Hamadan University of Medical Sciences (UMSHA),伊朗,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霍尔木兹甘医科大学,Hormozgan University of Medical Sciences,伊朗,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉夫桑詹瓦利阿斯尔大学,Vali-e-Asr University of Rafsanjan,伊朗,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊诺波利斯大学,Innopolis University,俄罗斯联邦,-,-,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莫斯科通信与信息技术大学,Moscow Technical University of Communications and Informatics,俄罗斯联邦,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴什基尔国立医科大学,Bashkir State Medical University,俄罗斯联邦,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喀山国立电力工程大学,Kazan State Power Engineering University,俄罗斯联邦,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下诺夫哥罗德国立技术大学关于。阿列克谢耶夫,Nizhny Novgorod State Technical University n.a. R.E. Alekseev,俄罗斯联邦,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄罗斯交通大学 (MIIT),Russian University of Transport (MIIT),俄罗斯联邦,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圣彼得堡国立儿科医科大学,Saint Petersburg State Pediatric Medical University,俄罗斯联邦,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萨马拉国立医科大学,Samara State Medical University,俄罗斯联邦,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伏尔加格勒国立医科大学,Volgograd State Medical University,俄罗斯联邦,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纽卡斯尔大学,Newcastle University,英国,137,170,157,201,71,51-100,51-100,101-150,51-150,=82,151-200,,151-200,151-200,,51-100,,,=145,=167,,101-150,101-150,151-200,201-250,,,=93,101-150,51-100,140,51-120,95,,101-150,151-200,,=248,201-250,51-100,=98,36,51-100,51-100,301-350,251-300,301-350,=203,201-250,,201-250,101-150,51-100,201-250,101-150,,151-200,,,151-200,,151-200,,151-200
金沙萨大学,University of Kinshasa,刚果民主共和国,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞浦路斯国际大学,Cyprus International University,北塞浦路斯,-,-,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞法科马克加托健康科学大学,Sefako Makgatho Health Sciences University,南非,-,1849,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿米蒂大学拉贾斯坦邦，斋浦尔,"Amity University Rajasthan, Jaipur",印度,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比尔拉理工学院,Birla Institute of Technology,印度,-,-,1001,-,,,,,,,,,,,,,,,=250,301-350,,301-350,201-275,251-300,251-300,,,,,,,,,,84,,,451-500,401-450,,,,,,351-400,401-550,401-450,,,,451-500,,,,,,,,,,,,,
达塔梅盖高等教育与研究学院（视为大学）,Datta Meghe Institute of Higher Education & Research (Deemed to be University),印度,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIT大学,DIT University,印度,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Y. Patil Vidyapeeth 博士，浦那,"Dr D. Y. Patil Vidyapeeth, Pune",印度,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赖布尔国立理工学院,"National Institute of Technology, Raipur",印度,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古尔冈阿米提大学,"Amity University, Gurugram",印度,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德里国家理工学院,National Institute of Technology Delhi,印度,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏尔达大学,Sharda University,印度,-,1759,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
维尔斯科学、技术和高级研究所 (VISTAS),"Vels Institute of Science, Technology and Advanced Studies (VISTAS)",印度,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基督大学,Christ University,印度,-,1924,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMR理工学院,GMR Institute of Technology,印度,-,-,1501,-,,,,151-200,,,,,,,,,,,,601-650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英迪拉·甘地德里女子技术大学,Indira Gandhi Delhi Technical University for Women,印度,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡帕甘高等教育学院,Karpagam Academy of Higher Education,印度,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 拉迈亚应用科学大学 (RUAS),M S Ramaiah University of Applied Sciences (RUAS),印度,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitte（视为大学）,Nitte (Deemed to be University),印度,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701-850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
锡金马尼帕尔大学,Sikkim Manipal University,印度,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斯里拉玛禅德拉高等教育与研究学院,Sri Ramachandra Institute of Higher Education and Research,印度,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
Vinayaka Mission 研究基金会,Vinayaka Mission’s Research Foundation,印度,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾哈迈德达兰大学,Universitas Ahmad Dahlan,印度尼西亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玛琅穆罕默德迪亚大学,Universitas Muhammadiyah Malang,印度尼西亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三宝垄州立大学,Universitas Negeri Semarang,印度尼西亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEES，圣埃斯皮里图大学,"UEES, Espiritu Santo University",厄瓜多尔,-,-,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马纳比技术大学,Universidad Técnica de Manabí,厄瓜多尔,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纽卡斯尔大学,University of Newcastle,澳大利亚,-,244,251,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美洲大学 (UDLA),University of Las Américas (UDLA),厄瓜多尔,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帕德博恩大学,Paderborn University,德国,-,-,501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台湾东吴大学,"Soochow University, Taiwan",台湾,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台北大学,University of Taipei,台湾,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大都会科技研究所,Instituto Tecnológico Metropolitano,哥伦比亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弗朗西斯科·何塞·卡尔达斯地区大学,Universidad Distrital Francisco José de Caldas,哥伦比亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哥伦比亚教育技术大学 - UPTC,Universidad Pedagogica y Tecnologica de Colombia - UPTC,哥伦比亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帕德博恩大学,University of Paderborn,德国,-,1387,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新谷大学,New Valley University,埃及,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南谷大学（埃及）,South Valley University (Egypt),埃及,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萨达特市大学,University of Sadat City,埃及,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
米斯尔科技大学,Misr University for Science and Technology,埃及,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十月现代科学与艺术大学 (MSA),October University for Modern Sciences and Arts (MSA),埃及,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞浦路斯欧洲大学,European University Cyprus,塞浦路斯,-,-,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701-850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莱奥本山大学,Montanuniversität Leoben,奥地利,-,-,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangabandhu Sheikh Mujibur Ra​​hman农业大学,Bangabandhu Sheikh Mujibur Rahman Agricultural University,孟加拉国,-,-,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贾肖尔科技大学,Jashore University of Science and Technology,孟加拉国,-,-,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉大港大学,University of Chittagong,孟加拉国,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孟加拉国贾格纳特大学,"Jagannath University, Bangladesh",孟加拉国,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地标大学,Landmark University,尼日利亚,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明纳联邦理工大学,"Federal University of Technology, Minna",尼日利亚,-,-,1201,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埃基蒂州立大学,Ekiti State University,尼日利亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥韦里联邦理工大学,"Federal University of Technology, Owerri",尼日利亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥耶-埃基蒂联邦大学,Federal University Oye-Ekiti,尼日利亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乌斯马努·丹佛迪约大学，索科托,"Usmanu Danfodiyo University, Sokoto",尼日利亚,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加德满都大学,Kathmandu University,尼泊尔,-,-,1501,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏库尔IBA大学,Sukkur IBA University,巴基斯坦,-,-,601,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赫瓦贾法里德工程与信息技术大学,Khwaja Fareed University of Engineering and Information Technology,巴基斯坦,-,1330,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央旁遮普大学,University of Central Punjab,巴基斯坦,-,1212,801,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古拉姆·伊沙克·汗工程科学技术研究所,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,巴基斯坦,-,-,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
