大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,更多项目信息
"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,,https://arts-sciences.buffalo.edu/college/departments-and-programs/social-sciences/data-analytics-social-sciences/ms-dass.html,https://arts-sciences.buffalo.edu/college/departments-and-programs/social-sciences/data-analytics-social-sciences.html,,"• STEM-OPT approved, 36-credit professional master's degree program.
• Interdisciplinary curriculum combines data analysis with social science disciplines.
• Hands-on research project or thesis option with faculty advisement.
• Core skills in statistics, computational programming, and data manipulation.
• Professionalization opportunities via Graduate Student Associations and The Graduate School."
"University at Buffalo, SUNY",MS,Materials Design and Innovation MS,工程与应用科学学院,,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,,"• Data-driven materials discovery and design emphasis, linking experimental and computational perspectives via materials informatics.
• Interdisciplinary training in materials science and data science for computational tools, modeling, and simulation.
• Comprehensive curriculum covering quantitative structure-property relationships, multivariate statistics, and experimental design.
• Required Semester Master's Project for hands-on application of learned materials and data science skills."
"University at Buffalo, SUNY",PhD,Materials Design and Innovation PhD,工程与应用科学学院,,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,,"• Data-driven approach: Emphasizes materials informatics, linking experimental and computational materials science.
• Interdisciplinary curriculum: Combines materials science core with statistics, databases, and data mining.
• Cutting-edge coursework: Includes materials informatics, advanced computing, machine learning, and robotics.
• Advanced lab resources: Features an integrated ""atoms to device"" experimental development laboratory.
• Broad career preparation: Equips graduates for diverse professional roles in research, industry, and policy."
University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/bicb-ms/,,"• Comprehensive 31-credit Master's with Thesis or Non-Thesis options.
• Interdisciplinary training bridging life sciences and computational sciences.
• Prepares graduates for research careers in academia, industry, or government.
• Access to Bioinformatics Data Science Core for computational infrastructure and expert support.
• Accelerated 4+1 program available for qualified University of Delaware undergraduates."
University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/bicb-ms/,,"• Interdisciplinary training bridging life sciences and computational sciences for next-generation researchers and professionals.
• Flexible 31-credit curriculum offering both Thesis and Non-Thesis options for focused research or broader elective studies.
• Core computational skills in biological data analysis, management, visualization, and system modeling and simulation.
• Career readiness for research roles in academia, industry, or government, plus preparation for further doctoral studies.
• Accelerated 4+1 pathway available for University of Delaware undergraduates to complete the MS in one year post-bachelor's."
University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/binf-phd/,,"• Interdisciplinary training bridges life sciences and computational sciences, preparing students for multi-disciplinary teams.
• Comprehensive curriculum includes experimental, computational, and mathematical disciplines like Bioinformatics, Systems Biology, and Data Analytics.
• Research focus on generating and analyzing biomedical data, and developing computational models of biological systems.
• Ph.D. admissions typically include a Research Assistantship (RA) providing full tuition and a stipend.
• Access to an advanced Bioinformatics Core with computational resources, software, hardware, and data center facilities."
University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/binf-phd/,,"• Interdisciplinary training: Blends experimental, computational, and mathematical sciences, bridging life sciences with computational fields.
• Specialized core curriculum: Focused coursework in Bioinformatics, Systems Biology, and Data Analytics, including AI and Machine Learning.
• Robust computational resources: Access to a Bioinformatics Core with dedicated hardware, software, data center, and NGS analysis services.
• Funded research assistantships: PhD admissions often include research assistantships, providing full tuition coverage and stipends."
Clemson University,PhD,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,,https://www.clemson.edu/degrees/biomedical-data-science-informatics/grad,https://computing.clemson.edu/bdsi/,,"• Joint Ph.D. program with Medical University of South Carolina, combining strengths in computing, engineering, and biomedical sciences.
• Specialized research tracks: precision medicine, population health, and clinical and translational informatics.
• NIH-funded SC BIDS4HEALTH training grant supports research addressing health inequities.
• Interdisciplinary curriculum tailored to diverse backgrounds, preparing for informatics careers and prescriptive analytics research."
Clemson University,MS,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,,https://www.clemson.edu/degrees/biomedical-data-science-informatics/grad,https://computing.clemson.edu/bdsi/,,"• Joint PhD program with Medical University of South Carolina, combining computing, engineering, and biomedical expertise.
• Specialized tracks in precision medicine, population health, and clinical/translational informatics for both degrees.
• Training in large-scale biomedical data analysis: EHRs, omics, imaging, and biosensor data.
• NIH-funded SC BIDS4HEALTH training grant addressing health inequities, in partnership with SC State University."
Marquette University,MS,Criminal Justice Data Analytics ,文理学院,,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,,"• Interdisciplinary curriculum bridging data science with criminology and law studies.
• Required practicum offers independent work with local non-profit or government agencies.
• Unique ethical focus on data collection and analysis within the criminal legal system.
• STEM-designated program qualifies international students for 36 months of OPT."
Marquette University,MS,Criminal Justice Data Analytics ,文理学院,,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,,"• Interdisciplinary curriculum blends data science with criminology and law studies for contextualized analytical skills.
• Required practicum offers community-engaged learning with local non-profit or government agencies.
• Unique ethical focus on data collection, management, and analysis within the criminal legal system.
• STEM-designated program qualifies international students for 36 months of Optional Practical Training."
Temple University,PSM,Bioinformatics and Biological Data Science PSM,科学技术学院,,https://www.temple.edu/academics/degree-programs/bioinformatics-psm-st-binf-psm/how-to-apply,https://www.temple.edu/academics/degree-programs/bioinformatics-psm-st-binf-psm,,"• Industry-focused curriculum for biotechnology, healthcare, and pharmaceutical sectors.
• Mandatory internship or research practicum with local biotechnology companies.
• Curriculum guided by industry expert advisory board for relevance.
• Evening classes accommodate working professionals seeking career advancement.
• Interdisciplinary training in computer programming, genomics, and structural biology."
University of Oregon,MS,Education Policy and Leadership,教育学院,,https://education.uoregon.edu/epol/apply,https://education.uoregon.edu/epol/graduate/ms,,"• Rigorous quantitative methods and policy analysis training culminating in an applied research project.
• Flexible curriculum with advanced topics in education policy or leadership and self-selected electives.
• Optional data science specialization through a five-course sequence, extending program duration.
• Cohort-based, one-year program designed for diverse applicants, including those with work experience."
Illinois Institute of Technology,M.S.,Master of Science in Biomedical Modeling and Data Science,工程学院,,https://www.iit.edu/admissions-aid/graduate-admission/international-students,https://www.iit.edu/academics/programs/master-science-biomedical-modeling-and-data-science,,"• Specialized curriculum: Emphasizes mathematical modeling, machine learning, biostatistics, and bioinformatics for computational biomedical engineering.
• Interdisciplinary focus: Aligned with university research initiatives in Computation and Data, plus Health and Wellness.
• Career readiness: Prepares for roles like data scientist, software engineer, and bioinformatics engineer in fast-growing fields.
• STEM-designated program: Offers advantages for international students seeking post-graduation work opportunities in the U.S."
University of Arizona,MS,Agricultural & Resource Econ (MS) - Applied Econometrics and Data Analytics,农业与生命科学学院,,https://grad.arizona.edu/catalog/programinfo/ARECMSAEDA,https://economics.arizona.edu/graduate/ms-applied-econometrics-data-analytics,,"• Applied research focus: agricultural management, policy, global economic challenges, and advanced econometric techniques.
• Interdisciplinary approach: addressing forecasting, international trade, water scarcity, and natural resource management.
• Strong career prospects: high median economist salary and low unemployment in agricultural economics.
• Highly ranked program: Water Resources Program ranked #2 U.S. and #4 globally."
