大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,面试,判定状态,面试newp,判定状态newp
University of Arizona,MS,Statistics and Data Science (MS),研究生院跨学科课程,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Arizona,PHD,Statistics and Data Science (PHD),研究生院跨学科课程,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Arizona,PHD,Statistics and Data Science (PHD) - Statistical Informatics,研究生院跨学科课程,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Utah,MS,Computing—Data Management and Analysis,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Utah,Ph.D.,Computing—Data Management and Analysis,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Utah,M.S.T.,Master of Science and Technology：COMPUTATIONAL AND DATA SCIENCE,跨学科项目,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Utah,M.S.T.,Master of Science and Technology：COMPUTATIONAL AND DATA SCIENCE,跨学科项目,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
University of Denver,MS,DATA SCIENCE,工程与计算机科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
University of Vermont,MS,Complex Systems and Data Science ,工程与数学科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Vermont,PHD,Complex Systems and Data Science ,工程与数学科学学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Vermont,MS,Complex Systems and Data Science ,工程与数学科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
University of Vermont,PHD,Complex Systems and Data Science ,工程与数学科学学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Loyola University Chicago,MSBDA,MS in Business Data Analytics,商学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Clark University,MS,Data Analytics*,专业学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
